Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
E154-CPX-1,2.25,1.93,0.07,0.03,0.75,0,0.29,0.92,0,0.02,0.01,4.03,75.9,South BBC
E154-CPX-2,2.28,1.89,0.12,0.03,0.77,0,0.32,0.87,0,0.03,0.01,4.04,72.9,South BBC
E154-CPX-3,2.33,1.85,0.15,0.03,0.76,0,0.34,0.89,0,0.03,0.01,4.06,72.2,South BBC
E154-CPX-4,2.31,1.87,0.12,0.03,0.72,0,0.38,0.88,0,0.04,0.01,4.05,70.1,South BBC
E154-CPX-5,2.31,1.92,0.06,0.03,0.54,0,0.5,0.96,0,0.02,0.01,4.05,65.5,South BBC
E154-CPX-6,2.28,1.93,0.06,0.03,0.63,0,0.44,0.9,0,0.02,0.01,4.03,67.1,South BBC
Average,2.29,1.9,0.1,0.03,0.69,0,0.38,0.9,0,0.03,0.01,4.04,70.6,South BBC
B413B-CPX-1,1.52,1.27,0.06,0.02,0.53,0,2.24,0.56,0,0.01,0.01,4.7,20,South BBC
B413B-CPX-2,2.31,1.91,0.09,0.03,0.78,0,0.34,0.85,0,0.02,0.01,4.04,71.3,South BBC
B413B-CPX-3,2.29,1.91,0.09,0.03,0.77,0,0.39,0.81,0,0.03,0.01,4.03,67.7,South BBC
B413B-CPX-4,2.38,1.92,0.07,0.02,0.76,0,0.43,0.79,0,0.03,0.01,4.03,64.6,South BBC
B413B-CPX-5,2.42,1.91,0.08,0.02,0.73,0,0.45,0.79,0,0.03,0.01,4.03,63.7,South BBC
B413B-CPX-6,2.3,1.91,0.08,0.02,0.78,0,0.41,0.79,0,0.03,0.01,4.03,65.9,South BBC
Average,2.2,1.81,0.08,0.02,0.72,0,0.71,0.77,0,0.02,0.01,4.14,58.9,South BBC
C505D-CPX-1,2.3,1.9,0.1,0.02,0.78,0.01,0.37,0.82,0,0.03,0.01,4.03,68.9,South BBC
C505D-CPX-2,2.33,1.88,0.12,0.02,0.77,0.01,0.36,0.83,0,0.03,0.01,4.04,69.8,South BBC
C505D-CPX-3,2.29,1.89,0.12,0.03,0.8,0.01,0.33,0.81,0,0.03,0.01,4.03,71.2,South BBC
C505D-CPX-4,2.33,1.9,0.1,0.02,0.78,0.01,0.36,0.82,0,0.03,0.01,4.03,69.3,South BBC
C505D-CPX-5,2.3,1.91,0.09,0.03,0.77,0,0.42,0.76,0,0.03,0.01,4.03,64.4,South BBC
Average,2.31,1.9,0.1,0.03,0.78,0.01,0.37,0.81,0,0.03,0.01,4.03,68.7,South BBC
B319-CPX-1,2.3,1.91,0.08,0.02,0.77,0,0.43,0.78,0,0.03,0.01,4.03,64.7,South BBC
B319-CPX-2,2.26,1.89,0.12,0.02,0.8,0.02,0.31,0.83,0,0.02,0.01,4.03,72.7,South BBC
B319-CPX-3,2.24,1.87,0.14,0.03,0.75,0.03,0.34,0.83,0,0.03,0.01,4.03,70.9,South BBC
Average,2.26,1.89,0.11,0.03,0.78,0.02,0.36,0.81,0,0.03,0.01,4.03,69.4,South BBC
C179B-CPX-1,2.28,1.9,0.11,0.03,0.76,0.01,0.38,0.8,0,0.03,0.01,4.03,67.7,South BBC
C179B-CPX-2,2.27,1.93,0.07,0.03,0.74,0,0.38,0.85,0,0.02,0.01,4.03,69.2,South BBC
C179B-CPX-3,2.27,1.9,0.1,0.03,0.75,0.01,0.38,0.82,0,0.03,0.01,4.03,68.3,South BBC
C179B-CPX-4,2.29,1.92,0.08,0.03,0.77,0,0.38,0.81,0,0.03,0.01,4.03,68,South BBC
C179B-CPX-5,0.48,0.41,0.02,0.01,0.16,0,0.08,0.17,0,2.37,0,3.22,69,South BBC
