Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
IR23-CPX-9,2.29,1.96,0.09,0.03,0.8,0,0.47,0.63,0,0.02,0,3.99,57,Isle Royale
IR23-CPX-10,2.27,1.92,0.07,0.03,0.72,0,0.49,0.76,0,0.03,0.01,4.03,60.8,Isle Royale
Average,2.28,1.91,0.11,0.04,0.74,0,0.44,0.75,0,0.02,0.01,4.03,63,Isle Royale
IR26A-CPX-1,2.26,2.02,0.07,0.02,0.73,0,0.45,0.62,0,0.02,0.01,3.94,58,Isle Royale
IR26A-CPX-2,2.26,2,0.09,0.02,0.72,0,0.46,0.6,0,0.03,0,3.93,56.6,Isle Royale
IR26A-CPX-3,2.26,2.01,0.06,0.03,0.7,0,0.44,0.67,0,0.03,0.01,3.94,60,Isle Royale
IR26A-CPX-4,2.25,1.99,0.06,0.02,0.7,0,0.4,0.76,0,0.02,0.01,3.96,65.3,Isle Royale
IR26A-CPX-5,2.26,2.02,0.08,0.02,0.72,0,0.46,0.59,0,0.03,0.01,3.93,56.2,Isle Royale
IR26A-CPX-6,2.27,2.01,0.07,0.01,0.73,0,0.47,0.6,0,0.03,0.01,3.93,56.5,Isle Royale
IR26A-CPX-7,2.26,1.97,0.08,0.03,0.72,0,0.42,0.71,0,0.03,0.01,3.97,63,Isle Royale
IR26A-CPX-8,2.26,2.01,0.08,0.03,0.73,0,0.44,0.61,0,0.03,0.01,3.94,58,Isle Royale
IR26A-CPX-9,2.26,2.01,0.08,0.02,0.73,0,0.46,0.6,0,0.03,0.01,3.93,56.9,Isle Royale
IR26A-CPX-10,2.26,2,0.08,0.02,0.71,0,0.44,0.67,0,0.02,0,3.95,60.3,Isle Royale
IR26A-CPX-11,2.26,2.02,0.07,0.02,0.71,0,0.48,0.6,0,0.03,0,3.93,55.6,Isle Royale
Average,2.26,2.01,0.07,0.02,0.72,0,0.45,0.64,0,0.03,0.01,3.94,58.8,Isle Royale
IR26B-CPX-1,2.2,1.98,0.09,0.02,0.76,0.01,0.22,0.88,0,0.02,0,3.97,80.2,Isle Royale
IR26B-CPX-2,2.22,1.98,0.07,0.02,0.69,0,0.33,0.84,0,0.03,0.01,3.97,71.9,Isle Royale
IR26B-CPX-3,2.22,1.97,0.08,0.02,0.68,0,0.32,0.85,0,0.03,0.01,3.98,72.4,Isle Royale
IR26B-CPX-4,2.25,1.98,0.06,0.02,0.64,0,0.42,0.82,0,0.03,0.01,3.97,66.3,Isle Royale
IR26B-CPX-5,2.2,1.99,0.06,0.02,0.74,0.01,0.23,0.89,0,0.01,0,3.96,79.2,Isle Royale
IR26B-CPX-6,2.21,2,0.06,0.02,0.7,0,0.28,0.86,0,0.02,0.01,3.96,75.3,Isle Royale
IR26B-CPX-7,2.19,2,0.06,0,0.75,0,0.23,0.88,0,0.02,0.01,3.95,79.4,Isle Royale
IR26B-CPX-8,2.2,1.99,0.06,0.02,0.73,0,0.24,0.89,0,0.02,0.01,3.96,79.1,Isle Royale
IR26B-CPX-9,2.19,2.01,0.06,0,0.73,0.01,0.21,0.9,0,0.02,0,3.94,80.8,Isle Royale
Average,2.21,1.99,0.07,0.02,0.71,0,0.28,0.87,0,0.02,0.01,3.96,76.1,Isle Royale
IR27-CPX-1,2.22,1.97,0.08,0.02,0.66,0,0.33,0.87,0,0.03,0.01,3.97,72.8,Isle Royale
IR27-CPX-2,2.22,1.97,0.08,0.02,0.64,0,0.36,0.85,0,0.04,0.01,3.96,70.4,Isle Royale
IR27-CPX-3,2.23,1.98,0.07,0.03,0.68,0,0.37,0.81,0,0.03,0,3.96,68.8,Isle Royale
IR27-CPX-4,2.23,1.96,0.08,0.03,0.65,0.01,0.36,0.85,0,0.03,0.01,3.97,70.4,Isle Royale
IR27-CPX-5,2.2,1.96,0.1,0.02,0.73,0.02,0.23,0.87,0,0.03,0.01,3.97,78.8,Isle Royale
IR27-CPX-6,2.19,1.98,0.09,0,0.71,0.01,0.25,0.9,0,0.02,0,3.95,78.4,Isle Royale
IR27-CPX-7,2.2,1.98,0.09,0.02,0.73,0,0.25,0.88,0,0.02,0,3.97,77.9,Isle Royale
IR27-CPX-8,2.21,1.98,0.08,0.02,0.61,0,0.34,0.9,0,0.03,0.01,3.97,72.4,Isle Royale
Average,2.21,1.97,0.08,0.02,0.68,0,0.31,0.87,0,0.03,0.01,3.96,73.7,Isle Royale
