Sample,CAT SUM,Si,Fe,Mg,Mn,Ca,Ti,Total,Mg#,Unit
A290B-Ol-1,1.67,1,0.77,1.21,0.01,0.01,0,3,61.1,BRD
A290B-Ol-2,1.66,0.99,0.74,1.25,0.01,0.01,0,3.01,62.9,BRD
A290B-Ol-3,1.7,0.99,0.86,1.12,0.01,0.01,0,3.01,56.6,BRD
A290B-Ol-4,1.66,0.99,0.77,1.23,0.01,0.01,0,3.01,61.4,BRD
A290B-Ol-5,1.69,1,0.81,1.17,0.01,0.01,0,3,59.1,BRD
A290B-Ol-6,1.65,1,0.75,1.23,0.01,0.01,0,3,61.9,BRD
Average,1.67,0.99,0.78,1.2,0.01,0.01,0,3.01,60.5,BRD
B319-Ol-1,1.69,0.99,0.79,1.19,0.01,0.01,0,3,60,BRD
B319-Ol-2,1.7,0.99,0.87,1.12,0.01,0.01,0,3.01,56.1,BRD
B319-Ol-3,1.73,0.98,0.97,1.03,0.02,0.01,0,3.02,51.5,BRD
B319-Ol-4,1.69,1,0.9,1.08,0.01,0.01,0,3,54.6,BRD
B319-Ol-5,1.73,0.99,1.02,0.97,0.02,0.01,0,3.01,48.8,BRD
B319-Ol-6,1.73,0.99,1.01,0.98,0.01,0.01,0,3.01,49.2,BRD
B319-Ol-7,1.7,0.99,0.9,1.09,0.01,0.01,0,3.01,54.6,BRD
B319-Ol-8,1.68,0.99,0.91,1.09,0.01,0.01,0,3.01,54.4,BRD
Average,1.71,0.99,0.92,1.07,0.01,0.01,0,3.01,53.7,BRD
C179B-Ol-1,1.74,1,1.01,0.98,0.01,0.01,0,3,49.3,BRD
C179B-Ol-2,1.73,1.01,0.98,0.98,0.01,0.01,0,2.99,49.9,BRD
C179B-Ol-3,1.74,1,0.99,0.99,0.02,0.01,0,3,50.2,BRD
C179B-Ol-4,1.74,0.99,0.98,1.02,0.02,0.01,0,3.01,50.8,BRD
C179B-Ol-5,1.79,0.99,1.12,0.88,0.02,0.01,0,3.01,44,BRD
C179B-Ol-6,1.76,1,1.05,0.93,0.02,0.01,0,3,46.8,BRD
Average,1.75,0.99,1.02,0.96,0.02,0.01,0,3.01,48.5,BRD
B190-Ol-1,1.82,0.99,1.22,0.77,0.02,0.01,0,3.01,38.8,BRD
B190-Ol-2,1.81,1,1.21,0.75,0.02,0.01,0,3,38.3,BRD
B190-Ol-3,1.83,1,1.24,0.73,0.02,0.01,0,3,37,BRD
Average,1.82,1,1.22,0.75,0.02,0.01,0,3,38.1,BRD
C442A-Ol-1,1.85,0.99,1.33,0.66,0.02,0.01,0,3.01,33.1,BRD
